Row,R2 puff pressure model,CI low 1,CI high 1,TR r slope,CI low 2,CI high 2,IQR slope,CI low S,CI high S,TR r offset,CI low 3,CI high 3,IQR offset,CI low O,CI high O,R2 habituation,CI low 4,CI high 4,TR r habituation,CI low H,CI high H,habituation iqr,CI low 5,CI high 5
AUC,0.814715822153574,0.683686828768949,0.916868518276826,0.783605099998836,0.281037461027259,0.992530915457353,33.3522199593543,6.02197983010781,116.331282215329,0.63803943341804,0.490928818958709,0.993130657017158,16.1808853028562,3.17112514751614,278.218794608498,0.391055070411493,0.219952002881031,0.574283058620636,0.681991715289266,0.357376107177453,0.903922694592296,170.775100342697,33.9637536946705,327.36761390617
Latency,0.97548854656023,0.970104245535821,0.9803516849015,0.814366876345743,-0.131876738279993,0.975500466443681,23.9565346109543,7.88083672151346,50.7800804879193,0.919186328365055,0.771624651792044,0.986507118996139,4.34935385045867,0.473262761507341,10.8251746190734,0.276024269137292,0.136156524033881,0.413209666202964,0.385662535159216,-0.0825178768338378,0.760655593538083,182.147948325265,54.9683368078645,264.174341182475
Time under 20,0.839321107506448,0.762700087126666,0.893841971927458,-0.0760790867044222,-0.480737459468761,0.95992727669207,56.6829132050068,15.9272740055366,1972.62406661375,0.167496077657012,-0.144734997798173,0.978729925153396,54.9282887287877,11.5956107065433,455.140676009322,0.286688684901839,0.173639133668919,0.404912375533854,0.237043988217269,-0.703277022003167,0.838223063049987,313.215073926862,59.2681223187172,695.264461403379
Time to open,0.789333533887611,0.656492475929653,0.896589171390741,0.815497347459219,0.256122430233489,0.994589476624,58.5226636456827,14.7643990427271,133.309856363844,0.606371088134317,0.456840626483516,0.994490313618539,37.6149482808786,1.81624115585494,230.607937690821,0.361928408548917,0.287172353995786,0.433433777203528,0.144766178301921,-0.614637202898998,0.685060117223212,387.556596756426,101.713813738755,701.615920127719
Initial velocity,0.681727749470063,0.53119873806159,0.816148647271459,0.703826974785061,0.0874730541411591,0.978792325481864,54.6727082262036,9.75668232513878,200.504666143217,0.909298506492247,0.765537298362741,0.977673630245175,10.0726502796848,3.51510249936682,15.4164572420362,0.32671196151111,0.173450588394514,0.500258343682614,-0.127095649138953,-0.64814544053659,0.606698512692289,222.032574933914,72.8257794110436,969.375366511371
Time to close,0.430174047282283,0.246898322730287,0.608841341546585,0.786527524031914,0.45355242661898,0.988550419897618,130.526681435695,30.2862230840214,249.13425096361,0.732071457290179,0.119667754822339,0.974500525517072,8.10316363701292,2.70722426894254,15.7116420382499,0.406624599193988,0.22715632030251,0.575149791666842,0.064091461016207,-0.719840817922201,0.927896319673433,168.410716895721,10.1707440889442,788.84663704432
Max closing velocity,0.717320572906622,0.561471781424448,0.853575749176251,0.888168338765258,0.622109264434108,0.997422475833993,30.6132954664262,5.21558523212692,137.170193621277,0.900535231780539,0.656885766820886,0.978953322312005,11.4964657873885,4.17662642712158,20.4459251144715,0.567052154175823,0.408104371002049,0.707327767371215,0.309155236483399,-0.366565195243825,0.715390940949729,117.035827238591,35.0162256868373,316.5924347147
Max opening velocity,0.577568651696099,0.448736109376422,0.691028136761183,0.863832089365264,0.386023834260588,0.989340535861225,34.9369097731547,11.1115270907083,107.284280096168,0.75016383930278,0.138790260859614,0.964118362747306,14.2699729802926,4.54362374838837,36.5423170901274,0.304080286010456,0.160018661772106,0.470149388230455,0.365468463511512,-0.0544751201764996,0.794091514397721,197.119830733372,51.607719885168,1261.54464770701
Blink rate,0.579058510620255,0.41168704584825,0.740986326869891,0.555847022495241,0.16038693522897,0.914725707229686,131.682885300678,30.7263001596823,632.716104139855,0.854835275089745,0.733064154125642,0.9580722056637,33.5712928461129,6.80124667346978,51.3433158953869,0.388447852390555,0.275969180512673,0.494988484397944,0.299665327646381,-0.249682289554685,0.946580549673258,46.9908458540658,12.5297638944774,1051.81424241075
